"","time","sum_flux","valtype"
"571","1993-05-16",16.6501165014588,"max"
"572","1993-06-16",20.2688252413371,"max"
"573","1993-07-16",21.4044006803518,"max"
"574","1993-08-16",21.8131148585341,"max"
"575","1993-09-16",19.2495383835995,"max"
"576","1993-10-16",16.9143013485874,"max"
"577","1993-11-16",14.4308359576647,"max"
"578","1993-12-16",13.4381737924668,"max"
"579","1994-01-16",13.9356084516297,"max"
"580","1994-02-15",14.6776971899075,"max"
"581","1994-03-16",14.6589521769606,"max"
"582","1994-04-16",14.7621152186177,"max"
"583","1994-05-16",17.114614521111,"max"
"584","1994-06-16",19.6304442001167,"max"
"585","1994-07-16",21.1464721360386,"max"
"586","1994-08-16",21.614801053657,"max"
"587","1994-09-16",19.1095708634502,"max"
"588","1994-10-16",17.202663513576,"max"
"589","1994-11-16",14.4349488236199,"max"
"590","1994-12-16",13.8475808438914,"max"
"591","1995-01-16",13.9245780239116,"max"
"592","1995-02-15",14.5717840483049,"max"
"593","1995-03-16",14.3805207335107,"max"
"594","1995-04-16",14.8798693699717,"max"
"595","1995-05-16",17.1575641088453,"max"
"596","1995-06-16",20.2041650177652,"max"
"597","1995-07-16",21.476791840114,"max"
"598","1995-08-16",21.4334501212319,"max"
"599","1995-09-16",19.6583706086285,"max"
"600","1995-10-16",17.3751979164909,"max"
"601","1995-11-16",15.9961808968808,"max"
"602","1995-12-16",15.4856068848045,"max"
"603","1996-01-16",12.3546992039,"max"
"604","1996-02-15",12.8599292682646,"max"
"605","1996-03-16",12.9044746578347,"max"
"606","1996-04-16",13.8572432954253,"max"
"607","1996-05-16",16.6036551621938,"max"
"608","1996-06-16",18.9227157516015,"max"
"609","1996-07-16",20.737612719411,"max"
"610","1996-08-16",19.3373357990702,"max"
"611","1996-09-16",15.9024482111578,"max"
"612","1996-10-16",13.3709641309986,"max"
"613","1996-11-16",12.2838137533222,"max"
"614","1996-12-16",11.8385011012935,"max"
"615","1997-01-16",11.5725052238077,"max"
